observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,ASI_D20deg(MIPO:0000026),ASI_D20deg(MIPO:0000026).date,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,ear_height(MIPO:0000007),ear_height(MIPO:0000007).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
402676,3360662,Mur13,KWS Murony 2013,127628,https://doi.org/10.15454/XGPNFM,PHZ51_H,REPLICATE>BLOCK>PLOT,,,402676,,22,19,"REPLICATE>BLOCK>PLOT:402676,REPLICATE>BLOCK:22,REPLICATE:3",rainfed,2013,"-2,86881473860",,"67,7330179755",,3103.0540584681,,8.3351081551,,268.6098275455,,"64,8642032369",,145,,290,,NA,
402543,3360515,Mur13,KWS Murony 2013,127628,https://doi.org/10.15454/XGPNFM,PHZ51_H,REPLICATE>BLOCK>PLOT,,,402543,,17,11,"REPLICATE>BLOCK>PLOT:402543,REPLICATE>BLOCK:17,REPLICATE:2",rainfed,2013,"-1,37904880810",,"66,243252045",,3248.4407484408,,8.2070811776,,252.6467869698,,"64,8642032369",,138,,260,,NA,
400650,3360920,Mur13,KWS Murony 2013,127480,https://doi.org/10.15454/ELUEOX,F98902_H,REPLICATE>BLOCK>PLOT,,,400650,,3,8,"REPLICATE>BLOCK>PLOT:400650,REPLICATE>BLOCK:15,REPLICATE:1",watered,2013,"-2,83269303590",,"63,401277574",,2648.5490557347,,7.3653164695,,278.0887313962,,"60,5685845381",,115,,265,,NA,
402190,3360122,Mur13,KWS Murony 2013,127480,https://doi.org/10.15454/ELUEOX,F98902_H,REPLICATE>BLOCK>PLOT,,,402190,,4,19,"REPLICATE>BLOCK>PLOT:402190,REPLICATE>BLOCK:4,REPLICATE:3",rainfed,2013,"-2,83269303590",,"63,401277574",,1824.4575936884,,4.0578816018,,222.4157807701,,"60,5685845381",,133,,245,,NA,
401057,3361374,Mur13,KWS Murony 2013,127629,https://doi.org/10.15454/HBOONE,SC-Malawi_H,REPLICATE>BLOCK>PLOT,,,401057,,22,6,"REPLICATE>BLOCK>PLOT:401057,REPLICATE>BLOCK:10,REPLICATE:2",watered,2013,"-4,86498379440",,"74,1427977433",,2298.8505747126,,5.5681792717,,242.2157983193,,"69,2778139489",,150,,245,,NA,
400693,3360970,Mur13,KWS Murony 2013,127629,https://doi.org/10.15454/HBOONE,SC-Malawi_H,REPLICATE>BLOCK>PLOT,,,400693,,5,9,"REPLICATE>BLOCK>PLOT:400693,REPLICATE>BLOCK:17,REPLICATE:1",watered,2013,"0,00000000000",,"67,7330179755",,2601.2634708287,,6.9739228407,,268.0975194897,,"67,7330179755",,145,,270,,NA,
402286,3360229,Mur13,KWS Murony 2013,127629,https://doi.org/10.15454/HBOONE,SC-Malawi_H,REPLICATE>BLOCK>PLOT,,,402286,,7,24,"REPLICATE>BLOCK>PLOT:402286,REPLICATE>BLOCK:7,REPLICATE:3",rainfed,2013,"-4,65988908620",,"70,9031411312",,2706.106154382,,7.3846133655,,272.8870540987,,"66,243252045",,125,,240,,NA,
402385,3360339,Mur13,KWS Murony 2013,127629,https://doi.org/10.15454/HBOONE,SC-Malawi_H,REPLICATE>BLOCK>PLOT,,,402385,,11,15,"REPLICATE>BLOCK>PLOT:402385,REPLICATE>BLOCK:11,REPLICATE:2",rainfed,2013,"-7,89954569830",,"74,1427977433",,2099.7841067045,,5.1795801209,,246.6720318725,,"66,243252045",,140,,248,,NA,
402797,3360797,Mur13,KWS Murony 2013,127629,https://doi.org/10.15454/HBOONE,SC-Malawi_H,REPLICATE>BLOCK>PLOT,,,402797,,26,6,"REPLICATE>BLOCK>PLOT:402797,REPLICATE>BLOCK:26,REPLICATE:1",rainfed,2013,"-6,40977976780",,"74,1427977433",,2049.5377638235,,5.1531282051,,251.4288,,"67,7330179755",,173,,263,,NA,
400629,3360903,Mur13,KWS Murony 2013,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,REPLICATE>BLOCK>PLOT,,,400629,,2,14,"REPLICATE>BLOCK>PLOT:400629,REPLICATE>BLOCK:14,REPLICATE:1",watered,2013,"-4,29561869880",,"64,8642032369",,1821.2585326679,,4.5188173509,,248.1150956768,,"60,5685845381",,115,,235,,NA,
