observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2788902,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49320,gnpis_pui:holding-921_taxon-4898_accession-49320,DI03002,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,41",,"99,5",
1,2788899,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49320,gnpis_pui:holding-921_taxon-4898_accession-49320,DI03002,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,66",,"79,06",
1,2788813,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49177,gnpis_pui:holding-921_taxon-4898_accession-49177,EM02281,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,55",,"91,58",
2,2788818,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49411,gnpis_pui:holding-921_taxon-4898_accession-49411,RE02134,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"13,75",,"88,29",
2,2788900,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49320,gnpis_pui:holding-921_taxon-4898_accession-49320,DI03002,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,1",,"87,31",
1,2788901,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49320,gnpis_pui:holding-921_taxon-4898_accession-49320,DI03002,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,97",,"93,39",
2,2788862,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"11,95",,"95,53",
1,2788861,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,75",,"96,9",
1,2788817,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49411,gnpis_pui:holding-921_taxon-4898_accession-49411,RE02134,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,03",,"85,26",
1,2788859,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,9",,"65,85",
1,2788815,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49411,gnpis_pui:holding-921_taxon-4898_accession-49411,RE02134,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"11,42",,"72,17",
2,2788860,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"9,7",,"74,79",
2,2788922,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49518,gnpis_pui:holding-921_taxon-4898_accession-49518,CF02094,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,81",,97,
2,2788816,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49411,gnpis_pui:holding-921_taxon-4898_accession-49411,RE02134,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,47",,"78,07",
2,2788812,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49177,gnpis_pui:holding-921_taxon-4898_accession-49177,EM02281,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,25",,"72,28",
2,2788920,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49518,gnpis_pui:holding-921_taxon-4898_accession-49518,CF02094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,43",,"79,17",
1,2788919,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49518,gnpis_pui:holding-921_taxon-4898_accession-49518,CF02094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,35",,"78,76",
1,2788921,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49518,gnpis_pui:holding-921_taxon-4898_accession-49518,CF02094,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,25",,"102,78",
2,2788914,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48677,gnpis_pui:holding-921_taxon-4898_accession-48677,RE02095,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"13,69",,"92,1",
