observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM06064itkt,2823245,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,130,,"11,08",,"74,1",,100,,,,"103,5",,,,1,
RE06057itkt,2823213,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,"120,5",,"11,64",,"68,6",,"98,1",,,,"101,6",,,,1,
RE06057itkfi,2823212,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"120,5",,"9,43",,"66,6",,"110,3",,"4,5",,"80,4",,"1,5",,1,
RE06008itkfi,2823252,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,131,,"9,58",,"70,7",,"105,7",,1,,77,,1,,1,
RE06008itkt,2823253,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,132,,"10,4",,70,,"97,9",,,,"101,4",,,,1,
AO07127itkfi,2823228,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,"121,5",,"8,86",,"72,4",,112,,2,,"81,6",,1,,1,
AO07127itkt,2823229,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,121,,"10,9",,"72,1",,"105,3",,,,109,,,,1,
RE06025itkt,2823251,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,126,,"11,49",,"72,1",,"98,1",,,,"101,6",,,,1,
RE06025itkfi,2823250,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"124,5",,"10,56",,"70,3",,"105,9",,"1,5",,"77,1",,1,,1,
DI07001itkt,2823199,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,120,,"10,14",,"71,3",,"108,5",,,,"112,4",,,,1,
DI07001itkfi,2823198,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,"119,5",,"9,21",,"67,1",,"118,4",,"3,5",,"86,3",,1,,1,
EM06017itkfi,2823194,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"124,5",,"9,84",,"71,1",,"115,4",,5,,"84,1",,1,,1,
EM06017itkt,2823195,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,125,,"10,72",,"74,4",,"105,1",,,,"108,8",,,,1,
EM06035itkt,2823271,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,130,,"10,6",,"75,9",,"98,5",,,,102,,,,1,
EM06035itkfi,2823270,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,127,,"8,78",,"71,9",,94,,5,,"68,5",,1,,1,
RE06058itkt,2823237,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"133,5",,"10,29",,"68,9",,"105,4",,,,"109,1",,,,1,
RE06058itkfi,2823236,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,132,,"9,45",,"68,6",,"122,6",,1,,"89,4",,"1,5",,1,
EM06029itkfi,2823234,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,129,,"9,2",,"68,8",,"106,5",,3,,"77,6",,1,,1,
EM06029itkt,2823235,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,130,,"10,33",,"71,8",,100,,,,"103,6",,,,1,
DI07003itkt,2823201,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,129,,"11,98",,"72,2",,"87,1",,,,"90,2",,,,1,
DI07003itkfi,2823200,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,"127,5",,"10,78",,"69,8",,"96,2",,"1,5",,"70,1",,"1,5",,1,
CF06013itkfi,2823260,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,129,,"9,26",,67,,"106,6",,1,,"77,7",,2,,1,
CF06013itkt,2823261,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,treated,2007,"72,5",,121,,"11,18",,"70,6",,"102,1",,,,"105,7",,,,1,
