observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2864781,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48928,https://doi.org/10.15454/G34RHP,DI11012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,35",,"94,22",,,
2,2864784,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48928,https://doi.org/10.15454/G34RHP,DI11012,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,19",,"101,39",,1,
1,2864783,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48928,https://doi.org/10.15454/G34RHP,DI11012,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,35",,"104,33",,1,
1,2864779,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49232,https://doi.org/10.15454/8YNF2B,DI11013,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,06",,"105,28",,2,
1,2864777,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49232,https://doi.org/10.15454/8YNF2B,DI11013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,19",,"100,1",,,
2,2864780,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49232,https://doi.org/10.15454/8YNF2B,DI11013,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,16",,"106,62",,1,
2,2864778,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49232,https://doi.org/10.15454/8YNF2B,DI11013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,29",,"99,59",,,
1,2864739,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48716,https://doi.org/10.15454/5APOHC,RE10042,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,42",,"99,17",,1,
1,2864737,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48716,https://doi.org/10.15454/5APOHC,RE10042,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,4",,"80,16",,,
2,2864740,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48716,https://doi.org/10.15454/5APOHC,RE10042,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,5",,"98,21",,1,
2,2864738,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48716,https://doi.org/10.15454/5APOHC,RE10042,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,91",,87,,,
2,2864704,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49256,https://doi.org/10.15454/W3CJOS,AO12007,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,45",,"89,18",,1,
2,2864702,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49256,https://doi.org/10.15454/W3CJOS,AO12007,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,51",,"85,94",,,
1,2864701,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49256,https://doi.org/10.15454/W3CJOS,AO12007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,19",,"79,58",,,
1,2864703,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49256,https://doi.org/10.15454/W3CJOS,AO12007,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,68",,"85,93",,1,
1,2864747,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"10,39",,"89,04",,1,
2,2864748,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"10,61",,"90,08",,1,
2,2864746,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"10,28",,"81,12",,,
1,2864727,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"10,17",,"96,72",,8,
2,2864726,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,08",,"86,2",,,
2,2864728,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,58",,"94,05",,5,
1,2864725,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,48",,"84,87",,,
2,2864718,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60786,https://doi.org/10.15454/XUWXYL,DI11002,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,49",,"92,12",,,
1,2864719,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60786,https://doi.org/10.15454/XUWXYL,DI11002,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,65",,"98,4",,6,
1,2864717,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60786,https://doi.org/10.15454/XUWXYL,DI11002,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,45",,"100,03",,,
2,2864720,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60786,https://doi.org/10.15454/XUWXYL,DI11002,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"10,02",,"102,1",,1,
1,2864773,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,92",,"90,8",,,
2,2864774,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,28",,"92,13",,,
1,2864775,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,81",,"89,86",,4,
2,2864776,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,79",,"92,32",,6,
1,2864657,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,8",,"86,13",,,
2,2864658,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,11",,"93,27",,,
1,2864659,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,96",,"96,61",,7,
2,2864660,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,74",,"103,14",,7,
1,2864663,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,61035,https://doi.org/10.15454/GVC2CV,AO12026,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,92",,"100,29",,1,
2,2864664,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,61035,https://doi.org/10.15454/GVC2CV,AO12026,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,26",,"100,68",,1,
2,2864662,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,61035,https://doi.org/10.15454/GVC2CV,AO12026,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,11",,"88,03",,,
1,2864661,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,61035,https://doi.org/10.15454/GVC2CV,AO12026,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,16",,"88,6",,,
1,2864723,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"11,18",,"89,15",,1,
2,2864724,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"11,77",,"89,08",,1,
2,2864722,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"11,23",,"87,04",,,
1,2864721,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"11,16",,"88,33",,,
1,2864785,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48652,https://doi.org/10.15454/GG9CKW,DI11014,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,71",,"92,62",,,
2,2864788,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48652,https://doi.org/10.15454/GG9CKW,DI11014,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,94",,"109,26",,5,
