observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI11012itkt,2872195,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,100,,150,,76,,"109,4",,"112,3",
DI11012itknt,2872194,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,75,,"152,5",,"97,98",
RE10039itkt,2872145,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,100,,147,,71,,"97,8",,"100,4",
DI11013itkt,2872193,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,102,,150,,"76,8",,"108,1",,"110,9",
EM09222itkt,2872181,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,102,,144,,"74,2",,"103,8",,"106,5",
Apacheitkt,2872157,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,93,,143,,"74,9",,"95,5",,98,
DI11002itknt,2872162,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,5,,,,,,"71,8",,139,,"89,29",
DI11013itknt,2872192,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,4,,,,,,"75,2",,"144,7",,"92,92",
DI11014itkt,2872197,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,104,,150,,74,,"110,2",,"113,1",
AO11013itknt,2872124,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,4,,,,,,"70,3",,"136,4",,"87,63",
Apacheitknt,2872156,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"73,9",,"107,7",,"69,15",
Lyrikitkt,2872201,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,103,,149,,"75,7",,"110,1",,113,
AO12014itkt,2872143,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,102,,148,,"76,8",,"112,3",,"115,3",
Lyrikitknt,2872200,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"75,5",,"163,4",,"104,96",
RE10042itkt,2872171,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,102,,150,,"76,3",,"103,3",,106,
AO13009itknt,2872140,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"75,1",,"159,1",,"102,22",
