observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2828542,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,35",,"56,34",,3,,1,
2,2828545,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,65",,"69,83",,,,7,
2,2828543,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,36",,"65,15",,"5,2",,1,
2,2828593,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,1",,"68,76",,,,"4,5",
1,2828592,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,85",,"80,56",,,,1,
2,2828591,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,68",,"52,18",,8,,1,
1,2828590,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,96",,"49,48",,"5,5",,1,
2,2828533,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,2",,"89,92",,,,"3,5",
1,2828532,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,77",,"97,05",,,,1,
1,2828530,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,25",,"71,45",,3,,1,
2,2828531,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,82",,"67,51",,"4,5",,1,
1,2828638,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,68",,"58,74",,"3,5",,"1,5",
1,2828640,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,45",,"69,08",,,,3,
2,2828639,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,12",,"63,7",,"5,5",,4,
2,2828641,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"14,09",,"66,33",,,,8,
2,2828537,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,19",,"69,57",,,,8,
1,2828536,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,6",,"62,96",,,,"5,5",
2,2828535,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,82",,"68,21",,2,,"6,5",
1,2828534,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,28",,"73,68",,2,,3,
2,2828581,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,48",,"84,38",,,,"4,5",
2,2828579,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,08",,"57,28",,"6,5",,1,
