observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF12181itkfi,2877694,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,158,,"10,6",,"71,9",,"104,2",,"86,9",,"3,8",,1,
CF12181itkt,2877695,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,157,,"10,9",,78,,"99,1",,106,,,,1,
CF12200itkt,2877697,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,156,,"11,1",,"75,7",,"97,8",,"104,6",,,,1,
CF12200itkfi,2877696,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,156,,"9,9",,"71,4",,"104,6",,"87,3",,"3,5",,1,
CF12202itkfi,2877734,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,150,,"10,8",,75,,"101,7",,"84,8",,5,,1,
CF12202itkt,2877735,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,154,,"11,2",,"70,2",,"99,9",,"106,8",,,,1,
CF12273itkfi,2877722,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,152,,"10,9",,75,,"106,5",,"88,9",,"4,8",,1,
CF12273itkt,2877723,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,152,,"11,5",,"79,8",,"106,9",,"114,4",,,,1,
DI13003itkt,2877737,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,156,,"11,6",,"78,3",,"98,5",,"105,3",,,,1,
DI13003itkfi,2877736,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,156,,"10,4",,"73,1",,"104,9",,"87,5",,"3,5",,1,
DI13004itkt,2877693,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,87,,156,,"11,6",,"77,5",,"94,7",,"101,3",,,,1,
DI13004itkfi,2877692,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,156,,"10,9",,"74,4",,"105,3",,"87,8",,3,,1,
