observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2821430,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"71,6",,"73,55",
2,2821429,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"54,15",,"9,8",,"71,6",,"77,98",
2,2821433,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"58,59",,"11,63",,"71,8",,"104,74",
1,2821432,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"58,47",,"11,66",,"70,1",,"103,34",
2,2821541,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"49,66",,"10,61",,"65,4",,"100,8",
2,2821537,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"39,42",,"8,78",,"70,1",,"76,25",
1,2821554,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"45,18",,"10,15",,"68,4",,"70,05",
1,2821540,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"43,47",,"11,6",,"67,5",,"102,22",
2,2821539,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"67,5",,"76,55",
1,2821414,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"52,44",,"11,36",,"69,7",,"114,64",
1,2821458,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"45,24",,"9,78",,"75,2",,"75,47",
1,2821538,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,67,,"74,52",
1,2821536,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"40,92",,"8,97",,"69,4",,"75,8",
2,2821485,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"64,6",,"66,93",
2,2821413,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"69,8",,"89,68",
1,2821486,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"52,44",,"12,75",,"64,4",,"108,41",
2,2821483,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"49,91",,"9,49",,"60,2",,"72,17",
1,2821482,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"50,25",,"9,48",,"66,4",,"74,04",
2,2821581,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"71,1",,"91,92",
1,2821410,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"49,18",,"8,26",,"71,1",,"81,6",
2,2821487,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"55,45",,"12,63",,68,,"111,59",
1,2821484,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"59,2",,"74,6",
2,2821419,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"71,5",,"86,34",
1,2821416,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"49,18",,"10,16",,"72,8",,"81,94",
2,2821473,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"70,4",,"86,29",
1,2821472,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"64,8",,"85,41",
2,2821555,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"49,18",,"9,89",,"70,9",,"72,02",
1,2821474,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"57,14",,"11,59",,"66,2",,"101,62",
2,2821471,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"53,66",,"9,28",,"67,9",,"80,59",
2,2821475,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"54,54",,"11,4",,66,,"109,57",
1,2821470,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"52,17",,"9,76",,"66,7",,"81,3",
1,2821420,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"51,72",,"11,43",,"72,2",,"100,07",
