observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2765482,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48448,gnpis_pui:holding-921_taxon-4898_accession-48448,EM00011,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"92,9",
2,2765426,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49137,gnpis_pui:holding-921_taxon-4898_accession-49137,RE99133,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"103,4",
1,2765425,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49137,gnpis_pui:holding-921_taxon-4898_accession-49137,RE99133,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"107,7",
1,2765423,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49137,gnpis_pui:holding-921_taxon-4898_accession-49137,RE99133,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"79,6",
2,2765424,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49137,gnpis_pui:holding-921_taxon-4898_accession-49137,RE99133,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"74,8",
2,2765468,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49139,gnpis_pui:holding-921_taxon-4898_accession-49139,EM00012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"76,3",
1,2765469,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49139,gnpis_pui:holding-921_taxon-4898_accession-49139,EM00012,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"100,7",
1,2765467,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49139,gnpis_pui:holding-921_taxon-4898_accession-49139,EM00012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"73,1",
2,2765470,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49139,gnpis_pui:holding-921_taxon-4898_accession-49139,EM00012,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"107,6",
2,2765428,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49369,gnpis_pui:holding-921_taxon-4898_accession-49369,RE99111,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,80,
