,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,Check,L9,L11,L13,W9,W11,W13,L14,W14,L15,W15
43,401000,3361343,Mur13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,401000.0,,20.0,21.0,"REPLICATE>BLOCK>PLOT:401000,REPLICATE>BLOCK:32,REPLICATE:2",watered,2642.2928631131,264.7669243697,"60,5685845381","64,8642032369",6.9959175465,260,NA,128,"-4,29561869880",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,402668,3360653,Mur13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402668.0,,22.0,27.0,"REPLICATE>BLOCK>PLOT:402668,REPLICATE>BLOCK:22,REPLICATE:3",rainfed,2430.5555555556,273.7424994094,"60,5685845381","66,243252045",6.6534635273,260,NA,150,"-5,67466750690",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,402531,3360501,Mur13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402531.0,,16.0,2.0,"REPLICATE>BLOCK>PLOT:402531,REPLICATE>BLOCK:16,REPLICATE:1",rainfed,2109.3578785887,266.8224,"60,5685845381","66,243252045",5.6282393162,265,NA,143,"-5,67466750690",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5,3360014,Mur13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,81,92,88,7.5,9,9,Yes,,,,,,,,,,
47,9,3360017,Mur13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,82,89,87,7,9,8,Yes,,,,,,,,,,
48,1,3360008,Mur13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,76,89,86,7,8,8,Yes,,,,,,,,,,
49,7,3360015,Mur13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,82,93,84,7,9,9,Yes,,,,,,,,,,
50,4,3360013,Mur13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,77,89,87,7.5,9,9,Yes,,,,,,,,,,
51,8,3360016,Mur13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,82,89,89,7,8.5,7,Yes,,,,,,,,,,
52,6,3360018,Mur13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:402696,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,Yes,86,89,83,7.5,9.5,8,,,,
