observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11177itkt,2868666,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,152,,"11,8",,"109,8",,,,97,,"1,5",,2,,2,
EM11579itkfi,2868645,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,80,,150,,"11,1",,"103,6",,5,,"69,8",,1,,3,,1,
EM11579itkt,2868646,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,150,,"12,16",,"87,4",,,,"77,2",,1,,1,,"8,5",
RE11045itkfi,2868599,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48831,https://doi.org/10.15454/IFODWI,RE11045,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,90,,152,,"11,39",,"97,5",,"3,5",,"65,7",,1,,3,,2,
RE11045itkt,2868600,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48831,https://doi.org/10.15454/IFODWI,RE11045,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,100,,152,,"11,93",,"93,2",,,,"82,4",,1,,"1,5",,"7,5",
RE11058itkt,2868616,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,102,,148,,"10,84",,"109,3",,,,"96,6",,"1,5",,2,,7,
RE11058itkfi,2868615,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,98,,150,,"10,39",,"118,5",,3,,"79,9",,1,,3,,3,
RE11073itkfi,2868605,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,95,,153,,"10,5",,"96,5",,3,,65,,1,,"2,5",,1,
RE11073itkt,2868606,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,90,,153,,"11,26",,"77,6",,,,"68,6",,2,,2,,6,
RE11075itkfi,2868601,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,95,,153,,"10,77",,"101,8",,3,,"68,6",,2,,"2,5",,1,
