observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date
CF12376itkt,2879764,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF12376itkfi,2879763,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"21,1",,90,,100,,,,"27,8",,,,"92,63",,,,"220,43",,,,84,,"0,94",,204,,62,,404,,"52,4",,"10,6",,"80,3",,1215,,,
DI13003itkt,2879824,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
DI13003itkfi,2879823,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"20,3",,83,,100,,,,"56,25",,,,"86,63",,,,"242,88",,,,81,,"0,97",,239,,58,,432,,"44,7",,"10,2",,"80,7",,1550,,,
DI13004itkt,2879732,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
DI13004itkfi,2879731,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"20,4",,84,,100,,,,"81,1",,,,"81,5",,,,"262,6",,,,88,,"1,04",,256,,65,,430,,"45,5",,"10,6",,81,,1675,,,
DI13005itkt,2879734,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
DI13005itkfi,2879733,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"23,6",,113,,100,,,,"75,4",,,,"92,63",,,,"268,03",,,,58,,"0,51",,202,,66,,357,,"50,7",,"9,6",,79,,1582,,,
DI13006itkfi,2879735,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"20,3",,83,,100,,,,"59,7",,,,"89,63",,,,"249,33",,,,77,,"0,93",,229,,58,,390,,"47,8",,"9,8",,"81,4",,1590,,,
DI13006itkt,2879736,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
