observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Bermudeitkt,2876471,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,156,,"11,6",,"65,3",,"108,7",,112,,,
EM12040itkt,2876493,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,152,,"12,1",,"77,8",,"94,2",,"97,1",,,
CF12164itkfi,2876458,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61495,https://doi.org/10.15454/79MDPU,CF12164,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,156,,"11,2",,"73,5",,"99,1",,"79,1",,"6,5",
Rubiskoitkt,2876521,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,154,,"11,2",,"77,1",,"103,2",,"106,4",,,
RE12002itkfi,2876474,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,156,,"10,7",,"73,2",,"113,3",,"90,5",,2,
Rubiskoitkfi,2876520,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,154,,"10,6",,"73,7",,"115,3",,92,,4,
AO13013itkfi,2876502,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,154,,"10,4",,"70,1",,"115,8",,"92,4",,3,
EM12044itkfi,2876490,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,154,,"11,2",,"72,7",,"110,6",,"88,3",,"3,2",
AO13004itkfi,2876454,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61621,https://doi.org/10.15454/BJPX1S,AO13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,156,,"9,3",,"69,9",,"115,8",,"92,4",,3,
AO13004itkt,2876455,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61621,https://doi.org/10.15454/BJPX1S,AO13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,158,,11,,"63,2",,"107,2",,"110,5",,,
