observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2824476,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,23",,"73,2",,"70,81",
1,2824478,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,04",,"74,6",,"94,74",
2,2824477,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,85",,"71,7",,"76,56",
2,2824437,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,1",,"69,5",,"78,07",
1,2824438,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,18",,"70,7",,"101,97",
1,2824436,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"8,77",,"73,7",,"72,08",
2,2824439,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,9",,"72,3",,"103,38",
1,2824546,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,15",,"69,6",,"99,41",
2,2824545,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,35",,"69,4",,"77,25",
1,2824544,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,82",,"68,5",,"78,62",
2,2824547,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,38",,"70,5",,"108,66",
1,2824490,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,32",,"74,4",,"105,41",
2,2824489,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,91",,"73,6",,"79,95",
1,2824488,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,53",,"77,1",,"77,14",
1,2824584,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"8,23",,"70,2",,"88,88",
2,2824587,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"9,96",,"70,3",,"103,79",
1,2824586,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,84",,"70,4",,"85,34",
2,2824585,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,12",,"69,2",,"89,71",
