observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2819743,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"66,7",,"85,75",
1,2819740,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"44,24",,"9,55",,72,,"74,45",
2,2819741,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"42,13",,"9,18",,"71,3",,"71,28",
1,2819620,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"48,93",,"9,56",,"69,3",,"75,18",
2,2819625,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"50,84",,"12,66",,"69,1",,"99,41",
1,2819624,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"53,09",,"10,08",,"72,4",,"113,12",
2,2819623,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"59,1",,"79,47",
1,2819622,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"63,9",,"80,88",
2,2819621,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"44,05",,"10,92",,"67,8",,"77,2",
1,2819736,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"64,7",,"95,14",
2,2819735,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"46,94",,"11,43",,"66,4",,"95,59",
2,2819737,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"62,9",,"99,74",
1,2819734,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,48,,"10,75",,"66,5",,"81,91",
2,2819739,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"50,08",,"11,29",,69,,"103,02",
1,2819738,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"50,25",,"11,06",,"67,2",,"101,51",
2,2819649,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"44,7",,"11,88",,"71,8",,"106,58",
1,2819648,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"46,08",,"10,79",,72,,"101,55",
1,2819646,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"66,3",,"79,92",
2,2819645,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"42,73",,"10,33",,"70,6",,"79,43",
2,2819647,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"60,7",,"78,85",
2,2819709,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"52,81",,"11,32",,"71,5",,"99,8",
