observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2819930,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,72",,"68,4",,"2,5",,"59,45",
2,2819933,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,71",,66,,,,"86,75",
1,2819932,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,57",,74,,,,"84,75",
1,2819972,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,93",,"72,4",,,,"78,18",
2,2819973,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,7",,"75,2",,,,"75,85",
2,2819971,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,38",,"63,8",,"5,8",,"44,88",
1,2820012,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,98",,"68,8",,,,"76,25",
1,2820010,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,45",,"65,9",,"4,8",,"41,92",
2,2820011,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,17",,"64,7",,"5,8",,"45,16",
2,2820013,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,55",,"76,1",,,,"79,02",
