observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM03041itkfi,2799093,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,24",,"113,8",,"96,8",
EM03041itkt,2799094,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,47",,"106,3",,"100,1",
LM03015itkt,2799114,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,04",,101,,"95,2",
LM03015itkfi,2799113,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,88",,"101,1",,86,
LM03014itkfi,2799159,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,75",,"108,8",,"92,6",
LM03014itkt,2799160,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,64",,"105,8",,"99,7",
CF03139itkt,2799108,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48502,gnpis_pui:holding-921_taxon-4898_accession-48502,CF03139,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,07",,"98,6",,"92,9",
CF03139itkfi,2799107,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48502,gnpis_pui:holding-921_taxon-4898_accession-48502,CF03139,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,3",,"99,4",,"84,5",
DI04011itkfi,2799123,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48536,gnpis_pui:holding-921_taxon-4898_accession-48536,DI04011,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,91",,"106,5",,"90,6",
DI04011itkt,2799124,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48536,gnpis_pui:holding-921_taxon-4898_accession-48536,DI04011,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,94",,95,,"89,5",
EM03025itkt,2799098,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49110,gnpis_pui:holding-921_taxon-4898_accession-49110,EM03025,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,12",,"101,9",,96,
EM03025itkfi,2799097,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49110,gnpis_pui:holding-921_taxon-4898_accession-49110,EM03025,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,22",,"103,9",,"88,4",
CF03124itkfi,2799163,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49408,gnpis_pui:holding-921_taxon-4898_accession-49408,CF03124,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,18",,"97,6",,"83,1",
CF03124itkt,2799164,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49408,gnpis_pui:holding-921_taxon-4898_accession-49408,CF03124,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,53",,"97,5",,"91,9",
