observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
LM03001itkfi,2797721,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,81",,"97,2",,"83,1",,2,
RE03108itkfi,2797737,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48423,https://doi.org/10.15454/5BUDKG,RE03108,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,02",,93,,"79,5",,1,
LM03001itkt,2797722,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,75",,"97,5",,"107,1",,1,
DI04003itkt,2797802,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49560,gnpis_pui:holding-921_taxon-4898_accession-49560,DI04003,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,36",,"99,5",,"109,3",,1,
RE03108itkt,2797738,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48423,https://doi.org/10.15454/5BUDKG,RE03108,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,14",,"91,5",,"100,5",,1,
DI04004itkt,2797788,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49220,gnpis_pui:holding-921_taxon-4898_accession-49220,DI04004,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,76",,"88,5",,"97,2",,1,
DI04001itkt,2797796,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48999,gnpis_pui:holding-921_taxon-4898_accession-48999,DI04001,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,02",,"95,4",,"104,8",,1,
DI04007itkt,2797748,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49591,gnpis_pui:holding-921_taxon-4898_accession-49591,DI04007,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,48",,"100,1",,110,,1,
DI04007itkfi,2797747,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49591,gnpis_pui:holding-921_taxon-4898_accession-49591,DI04007,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,32",,107,,"91,5",,1,
EM01308itkfi,2797743,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48674,gnpis_pui:holding-921_taxon-4898_accession-48674,EM01308,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,69",,"95,5",,"81,7",,1,
