observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2824283,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"13,34",,"69,8",,"59,77",,6,
2,2824227,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,94",,"74,3",,"73,14",,"5,5",
1,2824226,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,99",,"75,8",,"83,32",,2,
2,2824225,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,99",,"74,2",,"62,2",,"4,5",
1,2824224,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,79",,73,,"62,9",,"2,5",
2,2824323,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,47",,"68,7",,"75,65",,7,
1,2824322,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,15",,"69,3",,"79,49",,2,
1,2824320,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,85",,"65,2",,"58,96",,2,
2,2824321,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,45",,"68,7",,"72,89",,"5,5",
2,2824305,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,74",,"74,5",,"56,77",,"5,5",
1,2824304,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,6",,"73,8",,"56,35",,3,
2,2824307,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,99",,"74,7",,"77,14",,5,
