observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE05041itkt,2818565,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,treated,2006,"28,3",,163,,NA,,85,,NA,,"43,6",,NA,,"74,5",,NA,,203,,46,,"0,28",,221,,71,,402,,"12,1",,"78,5",,NA,,1660,,NA,
AO06803itkt,2818579,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,48775,https://doi.org/10.15454/SUCAXZ,AO06803,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,9",,97,,NA,,100,,NA,,23,,NA,,84,,NA,,207,,51,,"0,52",,213,,17,,339,,"13,8",,"77,4",,NA,,1180,,NA,
Flamenkoitkt,2818607,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2006,"25,6",,133,,NA,,100,,NA,,"38,9",,NA,,"92,5",,NA,,"231,4",,68,,"0,51",,295,,81,,386,,"10,5",,"74,9",,NA,,1480,,NA,
EM05312itkt,2818560,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,treated,2006,"27,9",,158,,NA,,100,,NA,,"10,8",,NA,,"56,6",,NA,,"167,4",,51,,"0,32",,188,,58,,359,,"12,6",,"76,2",,NA,,1300,,NA,
CF05140itkt,2818571,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,treated,2006,"24,1",,118,,NA,,97,,NA,,"40,4",,NA,,"79,2",,NA,,"216,6",,73,,"0,62",,313,,68,,388,,"12,1",,"77,3",,NA,,1530,,NA,
CF05161itkt,2818576,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,treated,2006,"24,2",,119,,NA,,100,,NA,,"62,4",,NA,,"88,5",,NA,,"250,9",,93,,"0,78",,314,,78,,394,,"12,2",,"76,7",,NA,,1830,,NA,
EM05230itkt,2818609,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,6",,113,,NA,,100,,NA,,"54,8",,NA,,69,,NA,,"223,8",,36,,"0,32",,145,,8,,353,,"11,8",,"76,5",,NA,,1500,,NA,
EM05178itkt,2818583,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26987,https://doi.org/10.15454/KGPOGY,EM05178,VIRTUAL_TRIAL,,,,,,,,treated,2006,"30,7",,191,,NA,,100,,NA,,69,,NA,,"66,8",,NA,,"235,8",,38,,"0,2",,194,,57,,371,,"11,6",,"76,5",,NA,,1900,,NA,
AO05004itkt,2818570,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,treated,2006,"25,2",,129,,97,,NA,,65,,NA,,73,,NA,,235,,NA,,49,,"0,38",,170,,"30,5",,344,,"12,75",,"75,4",,1725,,NA,,31,
Tamaroitkt,2818608,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,86,,NA,,"15,2",,NA,,NA,,NA,,NA,
