observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2817715,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49717,gnpis_pui:holding-921_taxon-4898_accession-49717,RE05036,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,93",,"103,51",
1,2817765,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49274,https://doi.org/10.15454/WL2TYG,DI06024,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"9,93",,"100,05",
2,2817766,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49274,https://doi.org/10.15454/WL2TYG,DI06024,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,2",,"102,86",
2,2817726,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,96",,"93,88",
1,2817725,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"11,33",,"95,58",
2,2817728,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"13,05",,"105,95",
1,2817727,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,63",,"103,53",
2,2817646,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"9,84",,"99,07",
1,2817645,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"9,93",,"100,13",
1,2817647,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"10,9",,"108,83",
2,2817648,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,45",,"107,13",
2,2817658,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"11,65",,"88,33",
2,2817660,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"12,51",,"93,66",
1,2817659,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"12,73",,"90,89",
1,2817657,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"11,49",,"85,5",
1,2817663,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48951,gnpis_pui:holding-921_taxon-4898_accession-48951,CF05092,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,26",,"98,6",
2,2817662,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48951,gnpis_pui:holding-921_taxon-4898_accession-48951,CF05092,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"9,54",,"90,75",
2,2817664,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48951,gnpis_pui:holding-921_taxon-4898_accession-48951,CF05092,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"10,57",,"100,86",
1,2817661,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48951,gnpis_pui:holding-921_taxon-4898_accession-48951,CF05092,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"9,87",,"87,89",
