observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Flamenkoitkfi,2846151,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,5",,88,,"51,2",,141,,"8,87",,"75,4",,"100,7",,"64,2",
Bermudeitkt,2846114,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,90,,52,,144,,"9,23",,"80,8",,"104,4",,"83,1",
RE07019itkt,2846116,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,87,,"48,1",,144,,"9,73",,79,,"100,1",,"79,8",
Flamenkoitkt,2846152,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"50,2",,142,,"9,7",,"75,6",,101,,"80,5",
AO10003itkt,2846142,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,90,,"52,1",,145,,"8,95",,80,,"103,8",,"82,7",
RE07019itkfi,2846115,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,85,,"47,5",,143,,"9,58",,"79,2",,"108,3",,69,
EM07117itkfi,2846119,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,5",,90,,"43,4",,145,,"8,76",,"78,3",,"108,8",,"69,3",
AO10001itkt,2846144,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,95,,"52,9",,146,,"9,64",,"79,8",,"99,9",,"79,6",
AO10001itkfi,2846143,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,5",,88,,"49,3",,145,,"8,9",,80,,"99,2",,"63,2",
RE07093itkfi,2846135,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,87,,52,,142,,"10,04",,"78,3",,"91,2",,"58,1",
