"Lot Number";"Accession Number";"Accession Name";"itk";"Trial Name";"Trial Site";"X(m)";"Y(m)";"Campaign";"GDD";"rdt: Grain yield at 0% humidity ";"Date [rdt]";"r: Yield";"Date [r]";"prec: Earliness at earing";"Date [prec]";"ps: Test weight";"Date [ps]";"ht: Height";"Date [ht]";"prot: Grain protein concentration";"Date [prot]";"rb: Susceptibility to leaf rust";"Date [rb]";"sept: Septoria score";"Date [sept]";"vr: Lodging score";"Date [vr]";"rj: Yellow rust score";"Date [rj]";"oid: Powdey mildew score";"Date [oid]";"pmg: Thousand grain weight at 0% humidity";"Date [pmg]"
"AO14001";"AO14001";"AO14001";"non traite fongicides";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"68.08";"";"80.1";"";"";"";"75.4";"";"";"";"";"";"1";"";"2";"";"";"";"8";"";"";"";"";""
"AO12021-1";"AO12021-1";"AO12021-1";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"102";"";"102.3";"";"140";"";"79.5";"";"";"";"12.4";"";"4.5";"";"4";"";"7";"";"1";"";"";"";"";""
"DI11010";"DI11010";"DI11010";"traite";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"126.1";"";"102.3";"";"144";"";"79.7";"";"";"";"12";"";"";"";"";"";"2";"";"";"";"";"";"";""
"AO14039";"AO14039";"AO14039";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"129.9";"";"102.4";"";"134";"";"";"";"90";"";"9.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI11010";"DI11010";"DI11010";"traite";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"102.6";"";"109.4";"";"133";"";"83.8";"";"99";"";"9.8";"";"";"";"";"";"1";"";"";"";"";"";"";""
"CELLULE";"36658";"CELLULE";"traite";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"82.1";"";"100.4";"";"144";"";"79.4";"";"88";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM11537";"37829";"EM11537";"faible intrant";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"95.4";"";"102.1";"";"139";"";"80.3";"";"94";"";"11.4";"";"2.5";"";"4";"";"1";"";"1";"";"1";"";"41";""
"AO13042";"AO13042";"AO13042";"non traite fongicides";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"94.7";"";"101";"";"135";"";"79.2";"";"94";"";"10.9";"";"3";"";"5";"";"1";"";"1";"";"1";"";"38.1";""
"AO14041";"AO14041";"AO14041";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"85.6";"";"96.3";"";"130";"";"77";"";"";"";"10.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13007";"RE13007";"RE13007";"faible intrant";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"111.1";"";"111.8";"";"140";"";"80.8";"";"";"";"11.3";"";"1";"";"3.5";"";"5.5";"";"1";"";"";"";"";""
"RE13003";"RE13003";"RE13003";"traite";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"94.6";"";"102.1";"";"133";"";"79.4";"";"120";"";"11.2";"";"";"";"";"";"1";"";"";"";"";"";"";""
"CF13080";"CF13080";"CF13080";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"82.3";"";"90.3";"";"130";"";"75";"";"90";"";"";"";"1.5";"";"6";"";"1";"";"1";"";"1";"";"";""
"RE13005";"39434";"RE13005";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"RE14007";"RE14007";"RE14007";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"95.2";"";"107.4";"";"136";"";"75";"";"88";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15028";"AO15028";"AO15028";"faible intrant";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"98.7";"";"101.1";"";"142";"";"";"";"92";"";"10.2";"";"1";"";"2.5";"";"";"";"1";"";"";"";"";""
"Folklor";"35310";"FOLKLOR";"";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"DI15007";"DI15007";"DI15007";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"102.2";"";"97.3";"";"134";"";"79.7";"";"83";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Bermude";"TX9";"Bermude";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"91.4";"";"94.3";"";"142";"";"82.9";"";"";"";"10.5";"";"5";"";"7";"";"3.5";"";"1";"";"";"";"";""
"Soissons";"6607";"SOISSONS";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"88.5";"";"91.3";"";"135";"";"83.5";"";"";"";"11.6";"";"8";"";"5";"";"5";"";"2";"";"";"";"";""
"EM14076";"EM14076";"EM14076";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"106";"";"110.7";"";"147";"";"";"";"92";"";"9.6";"";"1";"";"5.2";"";"";"";"2.5";"";"";"";"";""
"EM14102";"EM14102";"EM14102";"faible intrant";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"93";"";"113.1";"";"134";"";"83";"";"92";"";"";"";"1";"";"2";"";"1";"";"1.5";"";"";"";"";""
"Bermude";"TX9";"Bermude";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"94.3";"";"98.3";"";"138";"";"";"";"90";"";"10";"";"2.5";"";"4.2";"";"";"";"1.5";"";"";"";"";""
"DI14016";"DI14016";"DI14016";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"68.7";"";"90.7";"";"134";"";"84.5";"";"100";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AO15005";"AO15005";"AO15005";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"80";"";"101.1";"";"146";"";"71.4";"";"88";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15010";"AO15010";"AO15010";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"81.1";"";"102.5";"";"146";"";"68.5";"";"88";"";"10.2";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO12021-1";"AO12021-1";"AO12021-1";"non traite fongicides";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"98.19";"";"115.5";"";"";"";"79.5";"";"";"";"";"";"4";"";"3";"";"";"";"1";"";"";"";"";""
"AO13026";"AO13026";"AO13026";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"84.3";"";"80.7";"";"138";"";"";"";"94";"";"";"";"1";"";"6.5";"";"1";"";"2";"";"";"";"";""
"RE13106";"39438";"RE13106";"traite";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"122.5";"";"100.3";"";"143";"";"76.3";"";"";"";"9.9";"";"";"";"";"";"2.5";"";"";"";"";"";"";""
"RE13084";"39436";"RE13084";"faible intrant";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"71.5";"";"98.3";"";"132";"";"79.1";"";"95";"";"10.8";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"RE13106";"39438";"RE13106";"faible intrant";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"70";"";"96.3";"";"131";"";"79.9";"";"102";"";"9.4";"";"1";"";"3";"";"3";"";"";"";"";"";"";""
"RE13007";"RE13007";"RE13007";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"112.5";"";"123.4";"";"132";"";"80.4";"";"100";"";"";"";"1";"";"3.5";"";"4.5";"";"1";"";"1";"";"";""
"EM14050";"EM14050";"EM14050";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"86.6";"";"97.8";"";"132";"";"80.3";"";"90";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Folklor";"35310";"FOLKLOR";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"128.7";"";"104.1";"";"138";"";"";"";"102";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14146";"CF14146";"CF14146";"non traite fongicides";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"75.1";"";"98.6";"";"";"";"";"";"";"";"";"";"1.5";"";"3";"";"";"";"1";"";"";"";"";""
"Gallixe";"37286";"GALLIXE";"";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";"";"";"";"";"";""
"RE14108";"RE14108";"RE14108";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"114.2";"";"93.3";"";"141";"";"";"";"97";"";"11.2";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14270";"CF14270";"CF14270";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"89.6";"";"93.5";"";"138";"";"";"";"88";"";"11";"";"3";"";"3.8";"";"";"";"1.4";"";"";"";"";""
"RE14109";"RE14109";"RE14109";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"74";"";"99.4";"";"135";"";"76.8";"";"98";"";"";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"CF14302";"CF14302";"CF14302";"non traite fongicides";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"78.8";"";"104.5";"";"";"";"";"";"";"";"";"";"2.5";"";"2.5";"";"";"";"1";"";"";"";"";""
"AO15007";"AO15007";"AO15007";"traite";"BTH_Clermont-Ferrand_2015_SetB3";"Clermont-Ferrand";"";"";"2015";"";"98.6";"";"103.8";"";"128";"";"80.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Grapeli";"36801";"GRAPELI";"traite";"BTH_Clermont-Ferrand_2015_SetB3";"Clermont-Ferrand";"";"";"2015";"";"93.8";"";"98.7";"";"135";"";"78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15002";"AO15002";"AO15002";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"117";"";"97.7";"";"140";"";"";"";"98";"";"10.6";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15005";"AO15005";"AO15005";"non traite fongicides";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"77.5";"";"103.4";"";"";"";"";"";"";"";"";"";"1.5";"";"2";"";"";"";"1";"";"";"";"";""
"AO13022";"AO13022";"AO13022";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"92.4";"";"98.8";"";"143";"";"80";"";"";"";"10.97";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE10042";"37832";"RE10042";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"94.6";"";"101.2";"";"145";"";"80";"";"";"";"10.97";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE12080";"RE12080";"RE12080";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"72.4";"";"96.5";"";"134";"";"78.5";"";"80";"";"";"";"1.5";"";"2";"";"";"";"1";"";"";"";"";""
"RE12080";"RE12080";"RE12080";"traite";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"94.3";"";"99.4";"";"134";"";"70.5";"";"90";"";"11.8";"";"";"";"";"";"1";"";"";"";"";"";"";""
"CF12202";"39303";"CF12202";"traite";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"102.6";"";"99";"";"130";"";"78.1";"";"92";"";"12.1";"";"";"";"";"";"";"";"";"";"";"";"45.4";""
"DI11010";"DI11010";"DI11010";"traite";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"102.7";"";"99.1";"";"133";"";"82.7";"";"95";"";"12.2";"";"";"";"";"";"";"";"";"";"";"";"43.1";""
"AO13047";"39291";"AO13047";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"105";"";"100.5";"";"138";"";"";"";"96";"";"";"";"2.2";"";"4.5";"";"1";"";"3";"";"";"";"";""
"AO14013";"AO14013";"AO14013";"non traite fongicides";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"106.8";"";"105.6";"";"141";"";"";"";"102";"";"";"";"1.5";"";"5";"";"";"";"3";"";"";"";"";""
"CF13080";"CF13080";"CF13080";"faible intrant";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"74.9";"";"102.9";"";"129";"";"77.8";"";"88";"";"10.3";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"AO14017";"AO14017";"AO14017";"traite";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"80.3";"";"95.3";"";"147";"";"74.4";"";"90";"";"11.7";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13084";"39436";"RE13084";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"95.4";"";"104.6";"";"135";"";"81.1";"";"101";"";"";"";"2.5";"";"3";"";"2.5";"";"1";"";"2.5";"";"";""
"EM13147";"EM13147";"EM13147";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"116";"";"127.2";"";"132";"";"80.8";"";"98";"";"";"";"1.5";"";"3.5";"";"1";"";"1.5";"";"1";"";"";""
"RE14026";"RE14026";"RE14026";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"88.6";"";"100";"";"128";"";"81.7";"";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15029";"AO15029";"AO15029";"faible intrant";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"104.1";"";"104.7";"";"140";"";"79.8";"";"";"";"10.3";"";"4.5";"";"5.5";"";"4.5";"";"1.5";"";"";"";"";""
"CF14009";"CF14009";"CF14009";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"49.25";"";"69.9";"";"134";"";"";"";"94";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"RE14026";"RE14026";"RE14026";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"93.2";"";"105.9";"";"124";"";"81.8";"";"98";"";"";"";"3";"";"5.5";"";"1";"";"2";"";"";"";"";""
"CF14146";"CF14146";"CF14146";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"83.8";"";"95.2";"";"135";"";"79.1";"";"98";"";"";"";"1";"";"6";"";"1";"";"3";"";"";"";"";""
"CF14220";"CF14220";"CF14220";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"94.4";"";"97.4";"";"144";"";"81.3";"";"";"";"10.9";"";"3.5";"";"4.5";"";"4";"";"3.5";"";"";"";"";""
"DI15009";"DI15009";"DI15009";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"103.7";"";"108.3";"";"139";"";"";"";"89";"";"10.7";"";"2.5";"";"3";"";"";"";"1";"";"";"";"";""
"DI15008";"DI15008";"DI15008";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"75.5";"";"101.4";"";"134";"";"76.9";"";"85";"";"";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"CF14255";"CF14255";"CF14255";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"73.7";"";"98.9";"";"124";"";"81.6";"";"98";"";"";"";"1";"";"1";"";"6";"";"";"";"";"";"";""
"EM14072";"EM14072";"EM14072";"non traite fongicides";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"76.8";"";"102";"";"";"";"";"";"";"";"";"";"2";"";"2";"";"";"";"1";"";"";"";"";""
"DI15009";"DI15009";"DI15009";"non traite fongicides";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"74.9";"";"99.4";"";"";"";"";"";"";"";"";"";"3.5";"";"2.5";"";"";"";"1";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"77.7";"";"102.6";"";"131";"";"80.2";"";"90";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AO15008";"AO15008";"AO15008";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"79.4";"";"100.4";"";"148";"";"73";"";"95";"";"10.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15006";"AO15006";"AO15006";"";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";""
"RE12002";"39331";"RE12002";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"109.4";"";"101.8";"";"144";"";"";"";"";"";"";"";"5";"";"4.5";"";"5.5";"";"2";"";"";"";"";""
"AO13015";"AO13015";"AO13015";"faible intrant";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"101.1";"";"103.5";"";"140";"";"";"";"89";"";"9.7";"";"3.5";"";"2.8";"";"";"";"2.2";"";"";"";"";""
"AO13100";"AO13100";"AO13100";"traite";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"84.3";"";"103.1";"";"146";"";"71.5";"";"90";"";"10.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13047";"39291";"AO13047";"faible intrant";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"100.5";"";"107.6";"";"134";"";"82.3";"";"95";"";"11.2";"";"2";"";"3.5";"";"1";"";"3.5";"";"1";"";"43.5";""
"ATTLASS";"28926";"ATTLASS";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"89.7";"";"105.8";"";"133";"";"80.1";"";"88";"";"";"";"1.5";"";"2.5";"";"";"";"1";"";"";"";"";""
"RE13005";"39434";"RE13005";"faible intrant";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"105.8";"";"106.5";"";"141";"";"80.1";"";"";"";"11";"";"3";"";"4";"";"4";"";"1.5";"";"";"";"";""
"CF13080";"CF13080";"CF13080";"traite";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"123";"";"100";"";"137";"";"";"";"88";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM13243";"EM13243";"EM13243";"faible intrant";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"72.9";"";"100.2";"";"134";"";"81";"";"95";"";"10.5";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"EM13243";"EM13243";"EM13243";"non traite fongicides";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"80.2";"";"107.2";"";"";"";"66.2";"";"90";"";"";"";"4";"";"2";"";"";"";"1";"";"";"";"";""
"RE13086";"39437";"RE13086";"traite";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"82.9";"";"98.4";"";"144";"";"71.8";"";"90";"";"11.6";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13086";"39437";"RE13086";"traite";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"114.8";"";"99.2";"";"135";"";"82.8";"";"110";"";"11.6";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RE14026";"RE14026";"RE14026";"traite";"BTH_Clermont-Ferrand_2015_SetB1";"Clermont-Ferrand";"";"";"2015";"";"86.4";"";"100";"";"128";"";"80.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14146";"CF14146";"CF14146";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"48.92";"";"69.4";"";"134";"";"";"";"92";"";"";"";"";"";"2";"";"1";"";"";"";"";"";"";""
"RE14041";"RE14041";"RE14041";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"89.6";"";"101.8";"";"132";"";"80.8";"";"105";"";"";"";"1";"";"7.5";"";"1";"";"1";"";"";"";"";""
"CF14220";"CF14220";"CF14220";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"121.9";"";"99.6";"";"142";"";"";"";"100";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI15011";"DI15011";"DI15011";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"120.9";"";"98.8";"";"138";"";"";"";"92";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14073";"EM14073";"EM14073";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"81.1";"";"97.1";"";"148";"";"71.6";"";"88";"";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14114";"RE14114";"RE14114";"non traite fongicides";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"83.3";"";"110.5";"";"";"";"";"";"";"";"";"";"3";"";"1";"";"";"";"1";"";"";"";"";""
"AO15011";"AO15011";"AO15011";"traite";"BTH_Dijon_2015_SetB3";"Dijon";"";"";"2015";"";"111.1";"";"104.7";"";"134";"";"83";"";"113";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";""
"EM14205";"EM14205";"EM14205";"traite";"BTH_Dijon_2015_SetB3";"Dijon";"";"";"2015";"";"109";"";"102.7";"";"136";"";"80.9";"";"90";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO15025";"AO15025";"AO15025";"traite";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"119.7";"";"99.3";"";"143";"";"80.3";"";"";"";"11.4";"";"";"";"";"";"4";"";"";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"faible intrant";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"105.8";"";"103.2";"";"140";"";"79.1";"";"";"";"10.6";"";"1";"";"5.5";"";"3";"";"2";"";"";"";"";""
"EM14248";"EM14248";"EM14248";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"79.4";"";"104.8";"";"132";"";"78.2";"";"90";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AO15004";"AO15004";"AO15004";"faible intrant";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"85.4";"";"100.2";"";"135";"";"80.7";"";"96";"";"";"";"1";"";"5";"";"1";"";"2";"";"";"";"";""
"EM14270";"EM14270";"EM14270";"";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"AO13047";"39291";"AO13047";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"85.6";"";"";"";"135";"";"77";"";"";"";"9.4";"";"1";"";"";"";"";"";"1";"";"";"";"";""
"EM12234";"39324";"EM12234";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"71.5";"";"";"";"133";"";"78";"";"";"";"9.6";"";"1";"";"";"";"";"";"1";"";"";"";"";""
"CF12202";"39303";"CF12202";"traite";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"101.5";"";"106.9";"";"132";"";"80.2";"";"86";"";"10.7";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO12021-1";"AO12021-1";"AO12021-1";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"79.1";"";"105.4";"";"134";"";"80.6";"";"91";"";"";"";"2";"";"2.5";"";"";"";"1";"";"";"";"";""
"DI13002-2";"39307";"DI13002-2";"non traite fongicides";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"76.46";"";"90";"";"";"";"74.7";"";"";"";"";"";"2";"";"4";"";"";"";"1";"";"";"";"";""
"Bermude";"TX9";"Bermude";"non traite fongicides";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"71.66";"";"84.3";"";"";"";"74.3";"";"";"";"";"";"1";"";"1";"";"";"";"1";"";"";"";"";""
"AO13042";"AO13042";"AO13042";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"93.1";"";"86.7";"";"144";"";"";"";"";"";"";"";"1";"";"5";"";"6.5";"";"5";"";"";"";"";""
"AO13015";"AO13015";"AO13015";"traite";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"126.3";"";"102.5";"";"144";"";"79.8";"";"";"";"12.5";"";"";"";"";"";"2";"";"";"";"";"";"";""
"RE11058";"37839";"RE11058";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"114.3";"";"109.4";"";"136";"";"";"";"98";"";"";"";"2.5";"";"3.2";"";"1";"";"2.8";"";"";"";"";""
"CF12202";"39303";"CF12202";"traite";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"81.9";"";"100.2";"";"144";"";"76.6";"";"82";"";"10.6";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI13003";"39308";"DI13003";"non traite fongicides";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"71.4";"";"95.8";"";"148";"";"69.7";"";"90";"";"";"";"1";"";"2";"";"";"";"1";"";"";"";"";""
"AO14039";"AO14039";"AO14039";"non traite fongicides";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"105.6";"";"112.6";"";"130";"";"80.2";"";"92";"";"10.8";"";"2";"";"4.5";"";"1";"";"1";"";"1";"";"45";""
"RE13006";"RE13006";"RE13006";"traite";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"124.4";"";"101.2";"";"138";"";"";"";"98";"";"10.7";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13007";"RE13007";"RE13007";"faible intrant";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"79.3";"";"109";"";"130";"";"80.4";"";"99";"";"10.1";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"AO14022";"AO14022";"AO14022";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";""
"RE14039";"RE14039";"RE14039";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"88.6";"";"100";"";"134";"";"80.8";"";"93";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM13033";"EM13033";"EM13033";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"92.5";"";"104.4";"";"134";"";"81.2";"";"105";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
